,2022-2023 NHL Stats,,,Goals Data,,,,,,,,,,,
Name,Team,GP,,G,P1G,P1G%,P2G,P2G%,P3G,P3G%,OTG,ESG,PPG,SHG,GWG
Connor McDavid,EDM,82,,64,,,,,,,2,39,21,4,11
David Pastrnak,BOS,82,,61,13,21.3,22,36.0,22,36.0,4,43,18,0,13
Mikko Rantanen,COL,82,,55,15,27.2,23,41.8,14,25.4,3,42,13,0,9
Leon Draisaitl,EDM,80,,52,,,,,,,1,19,32,1,11
Brayden Point,TBL,82,,51,,,,,,,1,31,20,0,9
Tage Thompson,BUF,78,,47,22,46.8,11,23.4,13,27.6,1,26,20,1,7
Jason Robertson,DAL,82,,46,,,,,,,1,33,13,0,7
Jack Hughes,NJD,78,,43,,,,,,,1,34,9,0,6
Nathan MacKinnon,COL,71,,42,13,30.9,14,33.3,13,30.9,2,30,12,0,9
Alexander Ovechkin,WSH,73,,42,,,,,,,1,28,14,0,3
Mark Scheifele,WPG,81,,42,,,,,,,2,30,12,0,10
Carter Verhaeghe,FLA,81,,42,,,,,,,1,35,7,0,2
Adrian Kempe,LAK,82,,41,,,,,,,1,27,11,3,6
Kirill Kaprizov,MIN,67,,40,,,,,,,2,23,17,0,6
Auston Matthews,TOR,74,,40,,,,,,,0,27,13,0,8
Timo Meier,NJD,78,,40,,,,,,,1,23,17,0,5
Jared McCann,SEA,79,,40,,,,,,,0,30,7,3,3
Matthew Tkachuk,FLA,79,,40,,,,,,,0,26,14,0,6
William Nylander,TOR,82,,40,,,,,,,3,31,9,0,5
Tim Stützle,OTT,78,,39,,,,,,,1,26,10,3,3
Elias Pettersson,VAN,80,,39,,,,,,,3,28,6,5,6
Andrei Kuzmenko,VAN,81,,39,,,,,,,2,25,14,0,4
Mika Zibanejad,NYR,82,,39,,,,,,,0,18,20,1,5
Bo Horvat,NYI,79,,38,,,,,,,1,22,12,4,5
Roope Hintz,DAL,73,,37,,,,,,,0,25,9,3,5
Jordan Kyrou,STL,79,,37,,,,,,,1,26,11,0,5
Ryan Nugent-Hopkins,EDM,82,,37,,,,,,,0,21,15,1,3
Clayton Keller,ARI,82,,37,7,18.9,12,32.4,16,43.2,2,30,6,1,4
Alex Tuch,BUF,74,,36,9,25.0,12,33.3,14,38.8,1,27,8,1,9
Sebastian Aho,CAR,75,,36,10,27.7,12,33.3,12,33.3,2,26,7,3,9
Jake Guentzel,PIT,78,,36,,,,,,,1,25,11,0,6
Chris Kreider,NYR,79,,36,,,,,,,1,24,8,4,3
Zach Hyman,EDM,79,,36,,,,,,,0,21,15,0,3
John Tavares,TOR,80,,36,,,,,,,1,18,18,0,9
Brock Nelson,NYI,82,,36,,,,,,,1,30,6,0,8
Jeff Skinner,BUF,79,,35,8,22.8,16,45.7,10,28.5,1,27,8,0,3
Claude Giroux,OTT,82,,35,,,,,,,1,28,7,0,6
Brady Tkachuk,OTT,82,,35,,,,,,,2,24,11,0,6
Steven Stamkos,TBL,81,,34,,,,,,,2,20,14,0,6
Tyler Toffoli,CGY,82,,34,7,20.5,12,35.2,13,38.2,2,24,10,0,4
Sidney Crosby,PIT,82,,33,,,,,,,1,24,9,0,9
Jamie Benn,DAL,82,,33,,,,,,,0,18,13,2,4
Dylan Larkin,DET,80,,32,,,,,,,0,15,16,1,5
J.T. Miller,VAN,81,,32,,,,,,,1,16,11,5,3
Jesper Bratt,NJD,82,,32,,,,,,,1,24,8,0,3
Travis Konecny,PHI,60,,31,,,,,,,0,23,5,3,5
Nico Hischier,NJD,81,,31,,,,,,,2,21,7,3,9
Dylan Cozens,BUF,81,,31,,,,,,,1,24,5,2,1
Matthew Boldy,MIN,81,,31,,,,,,,1,23,8,0,5
Sam Reinhart,FLA,82,,31,,,,,,,1,15,16,0,5
