,,,Goals,,,,,,per Game,,,Shots,
Name,Team,GP,G,ESG,PPG,SHG,GWG,OTG,G/GP,A/GP,P/GP,SHOTS,SH%
Connor McDavid,EDM,82,64,39,21,4,11,2,0.78,1.085,1.866,352,18.20%
Leon Draisaitl,EDM,80,52,19,32,1,11,1,0.65,0.95,1.6,247,21.10%
David Pastrnak,BOS,82,61,43,18,0,13,4,0.744,0.634,1.378,407,15.00%
Nikita Kucherov,TBL,82,30,22,8,0,4,0,0.366,1.012,1.378,271,11.10%
Nathan MacKinnon,COL,71,42,30,12,0,9,2,0.592,0.972,1.563,366,11.50%
Jason Robertson,DAL,82,46,33,13,0,7,1,0.561,0.768,1.329,313,14.70%
Matthew Tkachuk,FLA,79,40,26,14,0,6,0,0.506,0.873,1.38,322,12.40%
Mikko Rantanen,COL,82,55,42,13,0,9,3,0.671,0.61,1.28,306,18.00%
Ryan Nugent-Hopkins,EDM,82,37,21,15,1,3,0,0.451,0.817,1.268,201,18.40%
Elias Pettersson,VAN,80,39,28,6,5,6,3,0.488,0.788,1.275,257,15.20%
Erik Karlsson,SJS,82,25,20,5,0,4,2,0.305,0.927,1.232,209,12.00%
Jack Hughes,NJD,78,43,34,9,0,6,1,0.551,0.718,1.269,336,12.80%
Mitchell Marner,TOR,80,30,17,9,4,4,2,0.375,0.863,1.238,196,15.30%
Brayden Point,TBL,82,51,31,20,0,9,1,0.622,0.537,1.159,235,21.70%
Tage Thompson,BUF,78,47,26,20,1,7,1,0.603,0.603,1.205,295,15.90%
Sidney Crosby,PIT,82,33,24,9,0,9,1,0.402,0.732,1.134,255,12.90%
Artemi Panarin,NYR,82,29,20,9,0,4,1,0.354,0.768,1.122,204,14.20%
Mika Zibanejad,NYR,82,39,18,20,1,5,0,0.476,0.634,1.11,251,15.50%
Tim Stützle,OTT,78,39,26,10,3,3,1,0.5,0.654,1.154,228,17.10%
William Nylander,TOR,82,40,31,9,0,5,3,0.488,0.573,1.061,293,13.70%
Clayton Keller,ARI,82,37,30,6,1,4,2,0.451,0.598,1.049,223,16.60%
Auston Matthews,TOR,74,40,27,13,0,8,0,0.541,0.608,1.149,327,12.20%
Steven Stamkos,TBL,81,34,20,14,0,6,2,0.42,0.617,1.037,240,14.20%
Zach Hyman,EDM,79,36,21,15,0,3,0,0.456,0.595,1.051,276,13.00%
Brady Tkachuk,OTT,82,35,24,11,0,6,2,0.427,0.585,1.012,347,10.10%
Evgeni Malkin,PIT,82,27,16,11,0,3,0,0.329,0.683,1.012,240,11.30%
Jeff Skinner,BUF,79,35,27,8,0,3,1,0.443,0.595,1.038,242,14.50%
J.T. Miller,VAN,81,32,16,11,5,3,1,0.395,0.617,1.012,223,14.40%
John Tavares,TOR,80,36,18,18,0,9,1,0.45,0.55,1,277,13.00%
Nico Hischier,NJD,81,31,21,7,3,9,2,0.383,0.605,0.988,256,12.10%
Kyle Connor,WPG,82,31,23,8,0,8,2,0.378,0.598,0.976,273,11.40%
Alex Tuch,BUF,74,36,27,8,1,9,1,0.486,0.581,1.068,218,16.50%
Claude Giroux,OTT,82,35,28,7,0,6,1,0.427,0.537,0.963,214,16.40%
Dylan Larkin,DET,80,32,15,16,1,5,0,0.4,0.588,0.988,244,13.10%
Jamie Benn,DAL,82,33,18,13,2,4,0,0.402,0.549,0.951,190,17.40%
Aleksander Barkov,FLA,68,23,14,8,1,6,0,0.338,0.809,1.147,208,11.10%
Joe Pavelski,DAL,82,28,15,13,0,2,0,0.341,0.598,0.939,184,15.20%
Josh Morrissey,WPG,78,16,14,2,0,6,2,0.205,0.769,0.974,172,9.30%
Quinn Hughes,VAN,78,7,5,2,0,0,0,0.09,0.885,0.974,154,4.60%
Alexander Ovechkin,WSH,73,42,28,14,0,3,1,0.575,0.452,1.027,294,14.30%
Kirill Kaprizov,MIN,67,40,23,17,0,6,2,0.597,0.522,1.119,261,15.30%
Roope Hintz,DAL,73,37,25,9,3,5,0,0.507,0.521,1.027,184,20.10%
Brock Nelson,NYI,82,36,30,6,0,8,1,0.439,0.476,0.915,222,16.20%
Andrei Kuzmenko,VAN,81,39,25,14,0,4,2,0.481,0.432,0.914,143,27.30%
Anze Kopitar,LAK,82,28,21,7,0,4,0,0.341,0.561,0.902,169,16.60%
Dougie Hamilton,NJD,82,22,14,8,0,7,2,0.268,0.634,0.902,275,8.00%
Johnny Gaudreau,CBJ,80,21,18,3,0,4,3,0.263,0.663,0.925,220,9.60%
Carter Verhaeghe,FLA,81,42,35,7,0,2,1,0.519,0.383,0.901,275,15.30%
